agent_id,agent_name,has_company,has_department,is_frontend_expert,is_design_expert,is_backend_only,is_non_technical,is_student,is_academic,company_tier,seniority_level,experience_years,prompt_length,prompt_word_count,role_count,context_count,capabilities_count,task_approach_count,rules_count,constraints_count,output_format_count,prompt_avg_point
17,017_salesforce_ux_researcher,True,True,True,True,False,False,False,True,10.0,10.0,2.5,3.0,2.9,5.5,7.0,4.0,4.6,5.5,5.5,7.0,5.6
18,018_salesforce_platform_eng,True,True,True,True,False,False,False,False,10.0,10.0,3.1,2.7,2.5,7.8,7.0,5.5,4.6,4.0,5.5,7.0,5.8
19,019_adobe_senior_creative_dev,True,True,True,True,False,False,False,False,10.0,10.0,3.4,2.8,2.7,3.2,7.0,5.5,4.6,4.0,5.5,7.0,5.5
20,020_adobe_design_technologist,True,True,True,True,False,False,False,False,10.0,10.0,2.8,2.6,2.7,5.5,4.0,5.5,2.8,4.0,5.5,7.0,5.2
21,021_adobe_frontend_architect,True,True,True,True,False,False,False,True,10.0,10.0,4.0,3.1,2.9,5.5,7.0,5.5,4.6,4.0,5.5,7.0,5.8
22,022_oracle_senior_ui_dev,True,True,True,True,False,False,False,False,10.0,10.0,3.1,2.8,2.7,5.5,7.0,5.5,4.6,4.0,5.5,7.0,5.6
23,023_oracle_ux_lead,True,True,True,True,False,False,False,True,10.0,10.0,3.4,2.7,2.6,5.5,7.0,5.5,4.6,4.0,5.5,7.0,5.6
24,024_oracle_cloud_frontend_eng,True,True,True,True,False,False,False,False,10.0,1.0,2.8,3.0,2.8,5.5,7.0,5.5,4.6,4.0,5.5,7.0,4.9
25,025_oracle_accessibility_specialist,True,True,True,True,False,False,False,False,10.0,10.0,2.5,3.2,3.0,3.2,7.0,5.5,6.4,4.0,5.5,7.0,5.6
26,026_vercel_fullstack_dev,False,False,True,True,False,False,False,False,7.0,10.0,1.6,5.0,5.5,7.8,7.0,5.5,6.4,7.0,5.5,7.0,6.3
27,027_linear_frontend_dev,False,False,True,True,False,False,False,False,4.0,10.0,1.9,5.6,6.1,7.8,7.0,5.5,6.4,7.0,5.5,7.0,6.1
28,028_supabase_ui_eng,False,False,True,True,False,False,False,False,4.0,10.0,1.6,5.1,5.6,10.0,7.0,5.5,6.4,5.5,1.0,7.0,5.7
29,029_retool_frontend_dev,False,False,True,True,False,False,True,False,4.0,10.0,1.3,5.1,5.8,7.8,7.0,5.5,6.4,5.5,1.0,10.0,5.8
30,030_railway_fullstack_dev,False,False,True,True,False,False,False,False,4.0,1.0,1.6,4.9,5.2,7.8,7.0,5.5,6.4,5.5,5.5,7.0,5.1
31,031_resend_creative_dev,False,False,True,True,False,False,False,False,4.0,10.0,1.3,2.7,2.4,5.5,7.0,5.5,4.6,4.0,1.0,7.0,4.6
32,032_liveblocks_frontend_eng,False,False,True,True,False,False,False,False,4.0,10.0,1.9,2.3,2.1,5.5,7.0,5.5,2.8,4.0,5.5,7.0,4.8
33,033_calcom_cto,False,False,True,True,False,False,False,False,4.0,10.0,2.2,2.4,2.4,5.5,7.0,5.5,2.8,4.0,5.5,7.0,4.9
34,034_stripe_mid_frontend_dev,False,False,True,True,False,False,False,False,7.0,5.5,1.9,2.7,2.6,5.5,7.0,5.5,2.8,4.0,5.5,7.0,4.8
35,035_figma_product_designer,False,False,True,True,False,False,False,False,7.0,10.0,2.2,2.4,2.3,5.5,7.0,5.5,4.6,4.0,5.5,7.0,5.2
36,036_notion_frontend_eng,False,False,True,True,False,False,False,False,7.0,10.0,1.9,2.1,2.0,5.5,4.0,5.5,2.8,4.0,1.0,7.0,4.4
37,037_vercel_qa_eng,False,False,True,True,False,False,False,False,7.0,10.0,1.6,2.4,2.6,5.5,7.0,5.5,4.6,4.0,5.5,7.0,5.2
38,038_twilio_product_owner,False,False,True,True,False,False,False,False,7.0,1.0,2.2,2.6,2.4,5.5,7.0,4.0,4.6,4.0,1.0,7.0,4.0
39,039_datadog_ui_dev,False,False,True,True,False,False,False,False,7.0,1.0,1.9,2.2,2.0,5.5,7.0,4.0,2.8,4.0,1.0,7.0,3.8
40,040_atlassian_frontend_dev,False,False,True,True,False,False,False,False,7.0,10.0,2.2,2.3,2.0,5.5,7.0,5.5,2.8,4.0,1.0,7.0,4.7
41,041_shopify_web_dev,False,False,True,True,False,False,False,False,7.0,1.0,1.9,1.6,1.5,3.2,7.0,5.5,2.8,4.0,1.0,7.0,3.6
42,042_ustwo_web_designer,False,False,True,True,False,False,False,False,4.0,10.0,1.9,1.9,1.8,5.5,7.0,4.0,2.8,4.0,1.0,7.0,4.2
43,043_huge_creative_dev,False,False,True,True,False,False,False,False,4.0,10.0,2.2,2.4,2.3,5.5,7.0,5.5,2.8,4.0,5.5,7.0,4.9
44,044_fantasy_ux_designer,False,False,True,True,False,False,False,False,4.0,10.0,2.5,2.1,2.1,5.5,7.0,4.0,2.8,4.0,5.5,7.0,4.7
45,045_instrument_frontend_dev,False,False,True,True,False,False,False,False,4.0,5.5,1.9,2.0,2.0,5.5,4.0,5.5,2.8,4.0,1.0,7.0,3.8
46,046_ramotion_project_manager,False,False,True,True,False,False,False,False,4.0,1.0,2.2,2.4,2.3,7.8,7.0,4.0,2.8,4.0,5.5,7.0,4.2
47,047_trendyol_frontend_dev,False,False,True,True,False,False,False,False,7.0,1.0,1.9,2.2,1.8,5.5,7.0,5.5,2.8,4.0,1.0,7.0,3.9
48,048_getir_frontend_dev,False,False,True,True,False,False,False,False,7.0,10.0,1.6,2.1,1.9,5.5,7.0,5.5,2.8,4.0,1.0,7.0,4.6
49,049_insider_ux_designer,False,False,True,True,False,False,False,False,7.0,10.0,1.9,2.2,2.1,5.5,7.0,5.5,2.8,4.0,1.0,7.0,4.7
50,050_peakgames_game_ui_dev,False,False,True,True,False,False,False,False,10.0,10.0,2.2,2.9,2.8,7.8,7.0,5.5,4.6,4.0,5.5,7.0,5.8
51,051_freelance_web_designer,False,False,True,True,False,False,False,False,7.0,1.0,4.0,5.9,6.4,7.8,7.0,5.5,6.4,7.0,5.5,7.0,5.9
52,052_freelance_fullstack_dev,False,False,True,True,False,False,False,False,7.0,10.0,3.4,5.3,5.8,5.5,7.0,5.5,6.4,7.0,5.5,7.0,6.3
53,053_freelance_ux_consultant,False,False,True,True,False,False,False,False,1.0,10.0,4.6,3.1,2.9,5.5,7.0,5.5,6.4,5.5,5.5,7.0,5.3
54,054_freelance_mobile_dev,False,False,True,True,False,False,False,False,1.0,10.0,2.8,2.6,2.6,5.5,7.0,5.5,4.6,4.0,5.5,7.0,4.8
55,055_freelance_frontend_dev,False,False,True,True,False,False,False,False,1.0,10.0,2.5,2.0,1.8,5.5,4.0,5.5,2.8,4.0,1.0,7.0,3.9
56,056_freelance_ui_ux_designer,False,False,True,True,False,False,False,False,7.0,10.0,3.1,2.6,2.6,5.5,7.0,5.5,2.8,4.0,5.5,7.0,5.2
57,057_freelance_devops_eng,False,False,True,True,False,False,False,False,1.0,10.0,3.7,2.7,2.6,3.2,7.0,5.5,1.0,4.0,5.5,7.0,4.4
58,058_freelance_perf_consultant,False,False,True,True,False,False,False,False,1.0,10.0,2.8,2.8,2.7,5.5,7.0,5.5,2.8,4.0,5.5,7.0,4.7
59,059_maku_cs_4,False,False,True,True,False,False,True,False,1.0,10.0,1.0,5.9,6.8,7.8,7.0,5.5,6.4,7.0,5.5,7.0,5.9
60,060_itu_cs_3,False,False,True,True,False,False,True,False,1.0,10.0,1.0,5.6,6.0,7.8,7.0,5.5,6.4,7.0,1.0,7.0,5.4
61,061_odtu_cs_4,False,False,True,True,False,False,True,False,1.0,3.2,1.0,2.8,2.6,5.5,4.0,5.5,4.6,4.0,5.5,7.0,3.9
62,062_bogazici_cmpe_4,False,False,True,True,False,False,True,False,1.0,10.0,1.0,2.3,2.0,7.8,4.0,5.5,4.6,4.0,1.0,7.0,4.2
63,063_hacettepe_cs_3,False,False,True,True,False,False,True,False,1.0,10.0,1.0,2.1,2.1,5.5,4.0,5.5,2.8,4.0,5.5,7.0,4.2
64,064_ege_se_4,False,False,True,True,False,False,True,False,1.0,10.0,1.0,2.1,1.8,5.5,7.0,4.0,4.6,4.0,1.0,7.0,4.1
65,065_ytu_cs_3,False,False,True,True,False,False,True,False,1.0,5.5,1.0,1.2,1.1,5.5,4.0,4.0,2.8,2.5,1.0,7.0,3.1
66,066_ankara_cs_4,False,False,True,True,False,False,True,False,1.0,10.0,1.0,1.4,1.2,5.5,1.0,4.0,2.8,2.5,5.5,7.0,3.6
67,067_bootcamp_6month,False,False,True,True,False,False,True,False,1.0,10.0,1.0,5.1,5.9,10.0,7.0,5.5,6.4,5.5,1.0,7.0,5.5
68,068_selftaught_1year,False,False,True,True,False,False,True,False,1.0,10.0,1.3,2.1,2.4,5.5,4.0,4.0,2.8,2.5,5.5,7.0,4.0
69,069_careerchanger_teacher,False,False,True,True,False,False,True,False,1.0,1.0,1.0,2.0,2.1,7.8,7.0,2.5,2.8,2.5,1.0,7.0,3.1
70,070_onlinecourse_learner,False,False,True,True,False,False,False,False,1.0,10.0,1.0,1.8,1.8,5.5,4.0,4.0,2.8,2.5,1.0,7.0,3.5
71,071_bootcamp_3month_intensive,False,False,True,True,False,False,True,False,1.0,10.0,1.0,1.8,1.5,7.8,4.0,4.0,2.8,2.5,1.0,7.0,3.7
72,072_hobby_coder_mecheng,False,False,True,True,False,False,True,False,1.0,1.0,1.0,1.5,1.4,5.5,4.0,4.0,2.8,2.5,1.0,7.0,2.7
73,073_hci_professor,False,False,True,True,False,False,True,True,1.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.8
74,074_cs_research_assistant,False,False,True,True,False,False,False,True,1.0,7.8,1.6,2.0,2.0,3.2,4.0,4.0,2.8,2.5,5.5,7.0,3.6
75,075_ux_researcher_phd,False,False,True,True,False,False,False,True,1.0,10.0,2.5,2.3,2.1,5.5,7.0,5.5,4.6,4.0,1.0,7.0,4.4
76,076_software_eng_docent,False,False,True,True,False,False,False,True,1.0,10.0,5.5,2.6,2.3,5.5,7.0,5.5,4.6,4.0,1.0,7.0,4.7
77,077_backend_only_dev,False,False,True,True,False,False,False,False,1.0,10.0,2.8,6.2,6.9,10.0,7.0,5.5,6.4,5.5,5.5,7.0,6.1
78,078_data_scientist,False,False,True,True,False,False,False,False,1.0,10.0,2.2,2.0,1.9,5.5,7.0,4.0,2.8,2.5,5.5,7.0,4.3
79,079_mobile_dev_noweb,False,False,True,True,False,False,False,False,1.0,10.0,2.5,1.7,1.8,5.5,7.0,4.0,2.8,2.5,1.0,7.0,3.9
80,080_embedded_systems_eng,False,False,True,True,False,False,False,False,1.0,1.0,3.4,1.7,1.6,5.5,4.0,4.0,2.8,2.5,1.0,7.0,3.0
81,081_technical_writer,False,False,True,True,False,False,True,False,1.0,10.0,2.2,6.3,6.7,7.8,7.0,5.5,6.4,7.0,1.0,7.0,5.7
82,082_qa_test_engineer,False,False,True,True,False,False,False,False,1.0,1.0,2.5,2.0,2.1,3.2,7.0,5.5,2.8,4.0,1.0,7.0,3.3
83,083_scrum_master,False,False,True,True,False,True,False,False,1.0,1.0,2.8,1.7,1.4,5.5,7.0,2.5,2.8,2.5,1.0,7.0,3.0
84,084_indie_product_manager,False,False,True,True,False,False,False,False,1.0,1.0,1.9,1.6,1.5,5.5,7.0,4.0,2.8,2.5,1.0,7.0,3.1
85,085_opensource_contributor,False,False,True,True,False,False,False,False,1.0,10.0,1.9,2.1,1.8,5.5,7.0,4.0,2.8,4.0,1.0,7.0,4.0
86,086_highschool_it_teacher,False,False,True,True,False,False,False,False,1.0,10.0,3.4,1.8,1.7,5.5,7.0,4.0,2.8,2.5,1.0,7.0,4.0
87,087_junior_frontend_6month,False,False,True,True,False,False,False,False,1.0,10.0,1.0,1.6,1.7,5.5,4.0,4.0,2.8,2.5,5.5,7.0,3.9
88,088_software_intern,False,False,True,True,False,False,False,False,1.0,10.0,1.0,1.1,1.1,5.5,4.0,4.0,1.0,2.5,1.0,7.0,3.3
89,089_tech_blogger,False,False,True,True,False,False,False,True,1.0,10.0,1.9,1.8,1.8,5.5,4.0,4.0,2.8,2.5,1.0,7.0,3.6
90,090_cybersecurity_researcher,False,False,True,True,False,False,False,True,1.0,1.0,2.5,2.1,2.0,3.2,7.0,5.5,2.8,4.0,1.0,7.0,3.3
91,091_maku_cs_1,False,False,True,True,False,False,True,False,1.0,10.0,1.0,5.8,7.3,10.0,7.0,4.0,6.4,5.5,1.0,10.0,5.8
92,092_fresh_highschool_grad,False,False,True,True,False,False,False,False,1.0,1.0,1.0,1.4,1.6,5.5,4.0,2.5,1.0,1.0,1.0,7.0,2.3
93,093_firstsemester_pythononly,False,False,True,True,False,False,True,False,1.0,10.0,1.0,1.0,1.0,5.5,4.0,2.5,1.0,1.0,1.0,7.0,3.0
94,094_accountant_nocoding,False,False,True,True,False,True,False,False,4.0,10.0,8.5,6.0,7.4,7.8,7.0,5.5,6.4,5.5,1.0,10.0,6.6
95,095_lawyer_notech,False,False,True,True,False,True,False,False,4.0,1.0,5.5,1.4,1.5,5.5,4.0,1.0,2.8,1.0,1.0,7.0,3.0
96,096_biologist_noweb,False,False,True,True,False,True,False,True,1.0,1.0,4.0,1.0,1.0,5.5,4.0,1.0,1.0,1.0,1.0,7.0,2.4
97,097_graphicdesigner_printonly,False,False,True,True,False,True,False,False,1.0,1.0,3.4,2.3,2.3,5.5,7.0,4.0,2.8,2.5,1.0,7.0,3.3
98,098_casual_internet_user,False,False,True,True,False,True,False,False,1.0,3.2,1.0,1.0,1.2,10.0,4.0,1.0,1.0,1.0,1.0,7.0,2.7
99,099_retired_teacher,False,False,True,True,False,True,False,False,1.0,3.2,10.0,1.4,1.6,7.8,4.0,2.5,2.8,1.0,1.0,7.0,3.6
100,100_highschool_student,False,False,True,True,False,False,True,True,1.0,3.2,1.0,1.5,1.7,7.8,4.0,2.5,2.8,1.0,1.0,7.0,2.9
